mes,temporada
1,Seca
1,Seca
1,Seca
1,Seca
1,Seca
1,Seca
1,Seca
1,Seca
1,Seca
1,Seca
1,Seca
1,Seca
1,Seca
1,Seca
1,Seca
1,Seca
1,Seca
1,Seca
1,Seca
1,Seca
1,Seca
1,Seca
1,Seca
1,Seca
1,Seca
1,Seca
1,Seca
1,Seca
1,Seca
1,Seca
1,Seca
2,Seca
2,Seca
2,Seca
2,Seca
2,Seca
2,Seca
2,Seca
2,Seca
2,Seca
2,Seca
2,Seca
2,Seca
2,Seca
2,Seca
2,Seca
2,Seca
2,Seca
2,Seca
2,Seca
2,Seca
2,Seca
2,Seca
2,Seca
2,Seca
2,Seca
2,Seca
2,Seca
2,Seca
2,Seca
3,Seca
3,Seca
3,Seca
3,Seca
3,Seca
3,Seca
3,Seca
3,Seca
3,Seca
3,Seca
3,Seca
3,Seca
3,Seca
3,Seca
3,Seca
3,Seca
3,Seca
3,Seca
3,Seca
3,Seca
3,Seca
3,Seca
3,Seca
3,Seca
3,Seca
3,Seca
3,Seca
3,Seca
3,Seca
3,Seca
3,Seca
4,Transicion
4,Transicion
4,Transicion
4,Transicion
4,Transicion
4,Transicion
4,Transicion
4,Transicion
4,Transicion
4,Transicion
4,Transicion
4,Transicion
4,Transicion
4,Transicion
4,Transicion
4,Transicion
4,Transicion
4,Transicion
4,Transicion
4,Transicion
4,Transicion
4,Transicion
4,Transicion
4,Transicion
4,Transicion
4,Transicion
4,Transicion
4,Transicion
4,Transicion
4,Transicion
5,Lluvia
5,Lluvia
5,Lluvia
5,Lluvia
5,Lluvia
5,Lluvia
5,Lluvia
5,Lluvia
5,Lluvia
5,Lluvia
5,Lluvia
5,Lluvia
5,Lluvia
5,Lluvia
5,Lluvia
5,Lluvia
5,Lluvia
5,Lluvia
5,Lluvia
5,Lluvia
5,Lluvia
5,Lluvia
5,Lluvia
5,Lluvia
5,Lluvia
5,Lluvia
5,Lluvia
5,Lluvia
5,Lluvia
5,Lluvia
5,Lluvia
6,Lluvia
6,Lluvia
6,Lluvia
6,Lluvia
6,Lluvia
6,Lluvia
6,Lluvia
6,Lluvia
6,Lluvia
6,Lluvia
6,Lluvia
6,Lluvia
6,Lluvia
6,Lluvia
6,Lluvia
6,Lluvia
6,Lluvia
6,Lluvia
6,Lluvia
6,Lluvia
6,Lluvia
6,Lluvia
6,Lluvia
6,Lluvia
6,Lluvia
6,Lluvia
6,Lluvia
6,Lluvia
6,Lluvia
6,Lluvia
7,Lluvia
7,Lluvia
7,Lluvia
7,Lluvia
7,Lluvia
7,Lluvia
7,Lluvia
7,Lluvia
7,Lluvia
7,Lluvia
7,Lluvia
7,Lluvia
7,Lluvia
7,Lluvia
7,Lluvia
7,Lluvia
7,Lluvia
7,Lluvia
7,Lluvia
7,Lluvia
7,Lluvia
7,Lluvia
7,Lluvia
7,Lluvia
7,Lluvia
7,Lluvia
7,Lluvia
7,Lluvia
7,Lluvia
7,Lluvia
7,Lluvia
8,Lluvia
8,Lluvia
8,Lluvia
8,Lluvia
8,Lluvia
8,Lluvia
8,Lluvia
8,Lluvia
8,Lluvia
8,Lluvia
8,Lluvia
8,Lluvia
8,Lluvia
8,Lluvia
8,Lluvia
8,Lluvia
8,Lluvia
8,Lluvia
8,Lluvia
8,Lluvia
8,Lluvia
8,Lluvia
8,Lluvia
8,Lluvia
8,Lluvia
8,Lluvia
8,Lluvia
8,Lluvia
8,Lluvia
8,Lluvia
8,Lluvia
9,Lluvia
9,Lluvia
9,Lluvia
9,Lluvia
9,Lluvia
9,Lluvia
9,Lluvia
9,Lluvia
9,Lluvia
9,Lluvia
9,Lluvia
9,Lluvia
9,Lluvia
9,Lluvia
9,Lluvia
9,Lluvia
9,Lluvia
9,Lluvia
9,Lluvia
9,Lluvia
9,Lluvia
9,Lluvia
9,Lluvia
9,Lluvia
9,Lluvia
9,Lluvia
9,Lluvia
9,Lluvia
9,Lluvia
9,Lluvia
10,Lluvia
10,Lluvia
10,Lluvia
10,Lluvia
10,Lluvia
10,Lluvia
10,Lluvia
10,Lluvia
10,Lluvia
10,Lluvia
10,Lluvia
10,Lluvia
10,Lluvia
10,Lluvia
10,Lluvia
10,Lluvia
10,Lluvia
10,Lluvia
10,Lluvia
10,Lluvia
10,Lluvia
10,Lluvia
10,Lluvia
10,Lluvia
10,Lluvia
10,Lluvia
10,Lluvia
10,Lluvia
10,Lluvia
10,Lluvia
10,Lluvia
11,Transicion
11,Transicion
11,Transicion
11,Transicion
11,Transicion
11,Transicion
11,Transicion
11,Transicion
11,Transicion
11,Transicion
11,Transicion
11,Transicion
11,Transicion
11,Transicion
11,Transicion
11,Transicion
11,Transicion
11,Transicion
11,Transicion
11,Transicion
11,Transicion
11,Transicion
11,Transicion
11,Transicion
11,Transicion
11,Transicion
11,Transicion
11,Transicion
11,Transicion
11,Transicion
12,Seca
12,Seca
12,Seca
12,Seca
12,Seca
12,Seca
12,Seca
12,Seca
12,Seca
12,Seca
12,Seca
12,Seca
12,Seca
12,Seca
12,Seca
12,Seca
12,Seca
12,Seca
12,Seca
12,Seca
12,Seca
12,Seca
12,Seca
12,Seca
12,Seca
12,Seca
12,Seca
12,Seca
12,Seca
12,Seca
